,weight
HDFCLIFE.NS,0.0
HINDALCO.NS,6.098816933328312e-23
LTIM.NS,0.03226688115309098
WIPRO.NS,5.171282860179591e-24
BPCL.NS,0.0
EICHERMOT.NS,0.0
TATASTEEL.NS,0.013265457700911415
DIVISLAB.NS,0.003907575783889766
RELIANCE.NS,1.369009128095936e-22
TCS.NS,1.836524003808755e-23
ADANIENT.NS,0.17497203858380594
JSWSTEEL.NS,2.1711639186059454e-22
ONGC.NS,1.2169276331513387e-23
INFY.NS,2.3430228403938054e-22
HCLTECH.NS,0.03335658074934379
ASIANPAINT.NS,0.0
HINDUNILVR.NS,0.0
POWERGRID.NS,0.030281355127337335
INDUSINDBK.NS,0.0
GRASIM.NS,0.0
HDFCBANK.NS,1.6382456465067304e-23
BAJFINANCE.NS,0.0
NTPC.NS,2.0474943376162169e-22
LT.NS,1.7299575483650656e-22
BHARTIARTL.NS,0.1593331162458805
MARUTI.NS,0.0
ICICIBANK.NS,2.9190517425546868e-22
SUNPHARMA.NS,0.1157325453991326
ULTRACEMCO.NS,0.0
CIPLA.NS,0.0
HEROMOTOCO.NS,0.0
ITC.NS,0.0
TITAN.NS,1.3682147604221384e-22
ADANIPORTS.NS,0.0
SHRIRAMFIN.NS,0.02721319215667052
COALINDIA.NS,0.003361461656669681
TATACONSUM.NS,0.0
SBILIFE.NS,3.0455626974748165e-23
TECHM.NS,1.034027131062369e-22
KOTAKBANK.NS,0.0
DRREDDY.NS,4.2333777064130794e-23
SBIN.NS,0.0
NESTLEIND.NS,0.0
APOLLOHOSP.NS,0.17328603377957022
BRITANNIA.NS,0.0
BAJAJ-AUTO.NS,0.0
BAJAJFINSV.NS,0.0
AXISBANK.NS,0.0
M&M.NS,0.23302376166369743
