,weight
RELIANCE.NS,0.006408219946931236
TCS.NS,0.0
HDFCBANK.NS,1.095012490835272e-16
INFY.NS,2.6306026654392862e-18
ICICIBANK.NS,0.0
HINDUNILVR.NS,0.0
ITC.NS,2.0819606156878337e-17
SBIN.NS,2.0024438252342754e-16
BHARTIARTL.NS,0.06262870317619913
KOTAKBANK.NS,0.050693819722470404
LT.NS,3.2086473319858684e-17
AXISBANK.NS,0.007591193389308922
ASIANPAINT.NS,0.10929687717249116
MARUTI.NS,0.2523563514714874
TITAN.NS,0.0255236084404792
SUNPHARMA.NS,7.046918922804237e-17
ULTRACEMCO.NS,7.135317088228702e-17
NESTLEIND.NS,0.048145162949808064
BAJFINANCE.NS,5.59036995800421e-17
WIPRO.NS,3.158673587185982e-17
HCLTECH.NS,8.943028299368385e-17
ADANIENT.NS,0.0
ONGC.NS,0.0
NTPC.NS,0.0
POWERGRID.NS,4.913636369024364e-17
TATASTEEL.NS,1.0035376784251992e-16
BAJAJFINSV.NS,1.4049596041770852e-17
M&M.NS,3.081921686627155e-17
TECHM.NS,0.0
COALINDIA.NS,0.0
HINDALCO.NS,0.03230561097099404
INDUSINDBK.NS,0.0
DRREDDY.NS,0.0
CIPLA.NS,1.652316913498394e-17
EICHERMOT.NS,0.06634332910634869
DIVISLAB.NS,1.680810856070466e-17
TATACONSUM.NS,0.013981233472738584
GRASIM.NS,0.0
JSWSTEEL.NS,0.0
APOLLOHOSP.NS,0.0
HEROMOTOCO.NS,0.08626818480942297
BRITANNIA.NS,0.04375219038496148
SBILIFE.NS,0.10415986579965276
ADANIPORTS.NS,5.627668168385464e-17
BPCL.NS,0.0008831181363053808
HDFCLIFE.NS,0.0
SHRIRAMFIN.NS,0.08966253105039948
LTIM.NS,7.228864534198222e-17
BAJAJ-AUTO.NS,0.0
