,weight
RELIANCE.NS,0.037040353045061376
TCS.NS,0.0
HDFCBANK.NS,0.0
INFY.NS,0.0
ICICIBANK.NS,0.0
HINDUNILVR.NS,0.0
ITC.NS,0.0
SBIN.NS,0.004763665536452893
BHARTIARTL.NS,0.10877666684845516
KOTAKBANK.NS,0.0
LT.NS,0.0
AXISBANK.NS,0.0
ASIANPAINT.NS,0.1826869402196462
MARUTI.NS,0.22464811641418503
TITAN.NS,0.0
SUNPHARMA.NS,0.0
ULTRACEMCO.NS,0.0
NESTLEIND.NS,0.0
BAJFINANCE.NS,0.0
WIPRO.NS,0.0
HCLTECH.NS,0.0
ADANIENT.NS,0.0
ONGC.NS,0.0
NTPC.NS,0.0
POWERGRID.NS,0.0
TATASTEEL.NS,0.0
BAJAJFINSV.NS,0.0
M&M.NS,0.0
TECHM.NS,0.0
COALINDIA.NS,0.0
HINDALCO.NS,0.04338441247636208
INDUSINDBK.NS,0.0
DRREDDY.NS,0.0
CIPLA.NS,0.0
EICHERMOT.NS,0.07080332953757024
DIVISLAB.NS,0.0
TATACONSUM.NS,0.0
GRASIM.NS,0.0
JSWSTEEL.NS,0.0
APOLLOHOSP.NS,0.0
HEROMOTOCO.NS,0.09682949636757725
BRITANNIA.NS,0.0
SBILIFE.NS,0.1344723748768794
ADANIPORTS.NS,0.0
BPCL.NS,0.02284937042221095
HDFCLIFE.NS,0.0
SHRIRAMFIN.NS,0.07374527425559943
LTIM.NS,0.0
BAJAJ-AUTO.NS,0.0
