date,portfolio_value
2020-06-03,1014973.0155397325
2020-06-04,1016619.9454468006
2020-06-05,1044076.6891992735
2020-06-08,1062621.7226921578
2020-06-09,1057921.2396587513
2020-06-10,1047359.3463413833
2020-06-11,982386.7940926035
2020-06-12,995528.2735036111
2020-06-15,1002033.6975615689
2020-06-16,1022245.1991464694
2020-06-17,1016961.3850490944
2020-06-18,1017477.9727664534
2020-06-19,1014782.1600393185
2020-06-22,1017724.1465572078
2020-06-23,1020976.3477277616
2020-06-24,993225.7184887249
2020-06-25,1007874.5791565466
2020-06-26,976924.3604423117
2020-06-29,995079.8757620838
2020-06-30,1009077.0117565215
2020-07-01,1014125.376378416
2020-07-06,1034135.9016528066
2020-07-07,1024535.0924896427
2020-07-08,1029657.2125275269
2020-07-09,1019261.5820688393
2020-07-10,1041183.6026724955
2020-07-13,1038965.317745002
2020-07-14,1054531.275958735
2020-07-15,1062105.8339633765
2020-07-16,1058968.8740642455
2020-07-17,1054309.5941327307
2020-07-20,1058589.274541036
2020-07-21,1065753.4038514378
2020-07-22,1069589.296017337
2020-07-23,1058230.6231242756
2020-07-24,1052252.1220298011
2020-07-27,1060524.6933045865
2020-07-28,1053847.5691996918
2020-07-29,1060552.8303882736
2020-07-30,1050227.3037711727
2020-07-31,1049802.8234068262
2020-08-03,1057123.9483457266
2020-08-05,1063824.2433048836
2020-08-06,1067803.9234197035
2020-08-07,1070683.2125357136
2020-08-10,1076892.819327354
2020-08-11,1071569.3370536035
2020-08-12,1089761.2097988185
2020-08-13,1088140.5796483154
2020-08-14,1090769.99046102
2020-08-17,1094135.8551932431
2020-08-18,1095658.449005747
2020-08-19,1090010.79516843
2020-08-20,1090792.7297265457
2020-08-21,1094117.8679952058
2020-08-24,1106712.042729316
2020-08-25,1106734.944903078
2020-08-26,1115406.6753537308
2020-08-27,1118945.7324211188
2020-08-28,1127368.6004165523
2020-08-31,1124690.3096134479
2020-09-01,1126615.3502862398
2020-09-03,1097228.0157598576
2020-09-04,1093873.9192071517
2020-09-08,1060561.0526820333
2020-09-09,1077657.232516913
2020-09-10,1057585.0244989253
2020-09-11,1061219.023966068
2020-09-14,1071783.2933874633
2020-09-15,1072236.0202834667
2020-09-16,1075235.3821118774
2020-09-17,1069216.5355148085
2020-09-18,1062052.3307838081
2020-09-21,1044861.0145926187
2020-09-22,1047196.9966208562
2020-09-23,1021853.5333988785
2020-09-24,1026347.4205334493
2020-09-25,1038124.0742502878
2020-09-28,1053715.5867070137
2020-09-29,1045387.8080960225
2020-09-30,1057529.9082835293
2020-10-01,1058998.3464632735
2020-10-05,1077268.007024962
2020-10-06,1059933.0910154735
2020-10-07,1077520.4905258752
2020-10-08,1089424.14086622
2020-10-09,1095268.3932145599
2020-10-12,1111723.923165169
2020-10-13,1104962.995408866
2020-10-14,1097262.68937173
2020-10-15,1097400.4936847473
2020-10-16,1098619.2116256584
2020-10-19,1082163.925790537
2020-10-20,1088436.1132261362
2020-10-21,1080765.9991664833
2020-10-22,1092743.9402064735
2020-10-23,1096926.0214257578
2020-10-26,1077573.1047491268
2020-10-27,1069844.9326915257
2020-10-28,1034310.94228804
2020-10-29,1043580.854045884
2020-10-30,1037871.7204766783
2020-11-02,1055837.0770746274
2020-11-04,1072510.1477951794
2020-11-05,1087652.7635752354
2020-11-06,1087312.7661057091
2020-11-09,1119164.2758709718
2020-11-10,1128811.8015556112
2020-11-11,1134053.3404584818
2020-11-12,1122857.7707466648
2020-11-13,1138486.45421125
2020-11-16,1155659.743411523
2020-11-17,1152644.8762129568
2020-11-18,1143967.2339042358
2020-11-19,1149865.750945137
2020-11-20,1144386.66783425
2020-11-23,1158220.058115926
2020-11-24,1182852.7796264554
2020-11-25,1181174.7187475564
2020-11-27,1182938.7813717981
2020-11-30,1170880.8878110116
2020-12-01,1183339.9214256057
2020-12-03,1185473.563269786
2020-12-04,1199209.5649317652
2020-12-07,1196182.4963986608
2020-12-08,1202064.439112339
2020-12-09,1196939.942058371
2020-12-10,1197404.827833892
2020-12-11,1192138.9150991705
2020-12-14,1181607.3283541023
2020-12-15,1192398.9302862878
2020-12-16,1191587.003048606
2020-12-17,1196264.4352412287
2020-12-18,1192385.4448229286
